customer_id,tenure,monthly_charges,total_charges,contract,internet_service,payment_method,senior_citizen,partner,dependents,tech_support,online_security,paperless_billing,churn
CUST-00001,7,42.53,225.19,Month-to-month,No,Electronic check,0,Yes,No,No,Yes,No,No
CUST-00002,56,56.47,3012.54,One year,No,Bank transfer,0,No,No,No,Yes,Yes,No
CUST-00003,48,76.8,3892.15,Month-to-month,Fiber optic,Electronic check,0,No,No,No,Yes,No,Yes
CUST-00004,32,54.29,1904.71,Two year,No,Electronic check,1,Yes,No,No,No,Yes,No
CUST-00005,32,63.04,1921.42,Month-to-month,Fiber optic,Credit card,1,No,No,Yes,No,Yes,No
CUST-00006,62,81.03,5029.04,Month-to-month,DSL,Bank transfer,0,No,No,No,No,Yes,Yes
CUST-00007,7,61.28,369.31,Month-to-month,DSL,Bank transfer,0,No,Yes,No,Yes,No,Yes
CUST-00008,51,75.65,3842.49,One year,DSL,Bank transfer,0,Yes,No,No,Yes,Yes,No
CUST-00009,15,109.82,1687.09,Month-to-month,DSL,Mailed check,1,No,Yes,Yes,No,Yes,Yes
CUST-00010,7,65.7,479.01,Month-to-month,Fiber optic,Electronic check,0,No,No,No,No,Yes,Yes
CUST-00011,38,99.48,3878.62,Month-to-month,DSL,Bank transfer,0,No,No,No,No,Yes,Yes
CUST-00012,71,83.98,5911.84,Month-to-month,DSL,Electronic check,0,Yes,Yes,No,Yes,No,No
CUST-00013,53,33.32,1767.21,Two year,DSL,Mailed check,0,No,Yes,No,Yes,Yes,No
CUST-00014,55,42.45,2087.37,Month-to-month,Fiber optic,Bank transfer,0,Yes,No,No,Yes,Yes,Yes
CUST-00015,52,49.16,2572.33,Month-to-month,No,Credit card,0,No,Yes,No,Yes,Yes,No
CUST-00016,57,48.63,2563.18,Month-to-month,Fiber optic,Bank transfer,1,Yes,No,No,No,Yes,Yes
CUST-00017,37,67.74,2379.98,Month-to-month,Fiber optic,Credit card,0,No,Yes,No,No,Yes,No
CUST-00018,10,85.37,980.81,Month-to-month,No,Mailed check,1,No,No,No,Yes,Yes,Yes
CUST-00019,61,101.38,6312.49,Month-to-month,Fiber optic,Electronic check,0,No,No,No,Yes,No,Yes
CUST-00020,33,77.7,2463.62,Month-to-month,Fiber optic,Mailed check,0,Yes,No,No,No,Yes,Yes
CUST-00021,37,58.86,2349.35,Month-to-month,Fiber optic,Bank transfer,1,No,No,Yes,No,Yes,Yes
CUST-00022,27,20.0,612.47,Month-to-month,No,Electronic check,0,Yes,No,Yes,No,Yes,Yes
CUST-00023,14,71.76,1052.74,One year,DSL,Credit card,0,Yes,Yes,No,Yes,Yes,No
CUST-00024,67,70.64,4617.08,Month-to-month,Fiber optic,Mailed check,0,No,No,Yes,No,Yes,No
CUST-00025,57,74.57,4432.69,One year,Fiber optic,Bank transfer,0,No,No,No,No,Yes,No
CUST-00026,47,122.66,5837.83,One year,DSL,Credit card,0,No,No,No,Yes,Yes,No
CUST-00027,29,101.01,2850.08,Two year,Fiber optic,Bank transfer,1,Yes,No,No,No,Yes,No
CUST-00028,60,89.63,5145.5,Month-to-month,Fiber optic,Electronic check,1,No,Yes,No,No,Yes,Yes
CUST-00029,40,45.95,1721.53,One year,No,Mailed check,0,Yes,No,Yes,No,Yes,No
CUST-00030,32,57.18,1845.35,Two year,No,Mailed check,0,Yes,No,No,No,Yes,No
CUST-00031,33,67.63,2210.39,Two year,Fiber optic,Credit card,0,No,No,No,No,No,Yes
CUST-00032,17,50.61,1010.09,Two year,Fiber optic,Bank transfer,0,No,No,No,No,Yes,No
CUST-00033,7,82.51,470.73,Month-to-month,No,Bank transfer,0,Yes,No,Yes,Yes,Yes,No
CUST-00034,40,78.92,3187.62,Two year,DSL,Credit card,0,Yes,Yes,No,Yes,No,No
CUST-00035,64,42.79,2843.44,Two year,DSL,Electronic check,0,Yes,No,No,No,No,No
CUST-00036,5,99.92,367.95,Month-to-month,Fiber optic,Electronic check,0,Yes,Yes,No,Yes,No,Yes
CUST-00037,62,72.56,4559.71,Month-to-month,Fiber optic,Bank transfer,0,No,Yes,No,No,Yes,Yes
CUST-00038,60,26.77,1604.82,Two year,Fiber optic,Bank transfer,0,Yes,Yes,Yes,No,No,No
CUST-00039,20,68.72,1319.28,Month-to-month,Fiber optic,Mailed check,0,Yes,No,No,No,No,No
CUST-00040,46,77.03,3323.83,One year,DSL,Bank transfer,0,Yes,No,No,Yes,Yes,No
CUST-00041,12,94.32,1177.32,Month-to-month,Fiber optic,Electronic check,0,No,Yes,No,Yes,Yes,Yes
CUST-00042,55,61.56,3318.53,One year,Fiber optic,Electronic check,0,Yes,No,No,No,Yes,No
CUST-00043,51,90.7,4587.56,Month-to-month,No,Credit card,0,Yes,No,Yes,No,Yes,Yes
CUST-00044,26,74.68,2081.76,One year,DSL,Electronic check,0,No,No,No,No,Yes,No
CUST-00045,5,37.12,182.48,Month-to-month,Fiber optic,Bank transfer,0,No,No,No,No,Yes,Yes
CUST-00046,70,34.62,2447.77,Two year,Fiber optic,Credit card,0,Yes,No,Yes,No,No,No
CUST-00047,33,98.06,3431.24,Month-to-month,Fiber optic,Bank transfer,1,No,Yes,No,No,Yes,Yes
CUST-00048,65,99.9,6510.4,Month-to-month,DSL,Mailed check,0,No,No,Yes,No,Yes,Yes
CUST-00049,49,78.07,3745.89,Month-to-month,DSL,Mailed check,0,No,No,No,No,Yes,No
CUST-00050,57,107.39,6248.15,Month-to-month,DSL,Electronic check,0,Yes,No,Yes,No,Yes,No
